,Vector1,,,Vector2,,
890,7.05E-05,1.60E-12,-7.85E-12,7.28E-05,-8.81E-12,-6.69E-13
895,2.02E-05,1.21E-12,-2.39E-12,2.38E-05,-2.97E-12,-6.13E-13
900,4.36E-06,8.20E-13,-6.79E-13,7.84E-06,-1.03E-12,-4.43E-13
905,-5.004093924,3.32E-10,4.23E-11,0.006399551,-1.43E-11,-3.34E-10
910,-2.001204412,2.73E-09,6.62E-09,-1.284966154,6.15E-10,-7.04E-09
915,-1.289715927,1.01E-09,1.02E-10,-1.508392468,-8.79E-10,-3.54E-10
920,0.105318873,3.64E-09,-1.46E-09,0.019039455,-3.91E-09,-6.39E-11
925,0.146882899,8.00E-10,-3.67E-10,0.115921169,-8.71E-10,1.66E-11
930,-0.003232155,-1.01E-09,6.92E-11,-0.009721506,9.61E-10,3.27E-10
935,-0.001206276,-3.96E-10,1.96E-11,-0.003329778,3.71E-10,1.33E-10
940,3.31E-04,-5.56E-10,4.55E-11,-5.06E-04,5.30E-10,1.71E-10
945,-5.57E-05,-2.28E-10,1.87E-11,-1.65E-04,2.14E-10,7.03E-11
950,-1.73E-04,-1.00E-10,6.63E-12,-5.19E-05,9.26E-11,3.16E-11
955,-1.67E-04,-4.12E-11,-6.08E-13,-1.70E-05,3.64E-11,1.49E-11
960,-1.35E-04,-1.98E-11,-2.79E-12,-7.14E-06,1.67E-11,8.32E-12
965,-1.19E-04,-9.19E-12,-3.90E-12,-3.38E-06,7.01E-12,5.09E-12
970,-1.09E-04,3.44E-11,-6.87E-12,-3.81E-06,-3.46E-11,-9.58E-12
975,-9.97E-05,2.83E-11,-6.44E-12,-5.06E-06,-2.83E-11,-7.48E-12
980,-9.11E-05,3.08E-11,-8.76E-12,-6.04E-06,-3.13E-11,-6.34E-12
985,-8.27E-05,2.41E-11,-7.40E-12,-6.62E-06,-2.44E-11,-4.93E-12
990,-7.30E-05,1.94E-11,-6.49E-12,-6.29E-06,-1.97E-11,-3.78E-12
995,-6.51E-05,1.13E-11,-3.95E-12,-6.19E-06,-1.14E-11,-2.58E-12
1000,-5.77E-05,9.79E-12,-3.74E-12,-5.94E-06,-9.95E-12,-1.96E-12
