,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
160, 50.52335193418482, 36.336009539446444, 29.48928682288864, 50.52335193418482, 36.336009539446444, 29.48928682288864, 50.52335193418482, 13.482261650385851, 19.828507327605326, 4.109960452592902, 13.482261650385851, 19.828507327605326, 4.109960452592902, 13.482261650385851, 11.150396433254766, 16.22380473080004, 3.7813277514577748, 11.150396433254766, 16.22380473080004, 3.7813277514577748, 11.150396433254766, 18.102393405422788
165, 36.72807122318802, 45.458360569982794, 53.446496570955524, 36.72807122318802, 45.458360569982794, 53.446496570955524, 36.72807122318802, 14.044694633231076, 21.189460447491825, 6.097525314826748, 14.044694633231076, 21.189460447491825, 6.097525314826748, 14.044694633231076, 12.93903602981557, 19.056220066088574, 13.47014480193547, 12.93903602981557, 19.056220066088574, 13.47014480193547, 12.93903602981557, 9.047527242116185
170, 53.45282597010388, 55.23855271066527, 42.14236110885716, 53.45282597010388, 55.23855271066527, 42.14236110885716, 53.45282597010388, 6.999171448286842, 21.380866284697596, 18.407645954201588, 6.999171448286842, 21.380866284697596, 18.407645954201588, 6.999171448286842, 19.061733757118873, 31.081115515795137, 14.138664801919735, 19.061733757118873, 31.081115515795137, 14.138664801919735, 19.061733757118873, 16.16233539555297
175, 46.651422174743985, 52.949550648009385, 59.17079701206335, 46.651422174743985, 52.949550648009385, 59.17079701206335, 46.651422174743985, 12.960459207824444, 12.735563349182446, 10.551900421544623, 12.960459207824444, 12.735563349182446, 10.551900421544623, 12.960459207824444, 19.345545994166176, 13.546540680081014, 17.586703120073977, 19.345545994166176, 13.546540680081014, 17.586703120073977, 19.345545994166176, 5.747495809481208
180, 22.15065703979138, 50.945380936892676, 54.922201816408105, 22.15065703979138, 50.945380936892676, 54.922201816408105, 22.15065703979138, 4.885454185908658, 11.093025918437972, 8.888082977697769, 4.885454185908658, 11.093025918437972, 8.888082977697769, 4.885454185908658, 5.709523106834028, 13.832118902051986, 5.350575123380518, 5.709523106834028, 13.832118902051986, 5.350575123380518, 5.709523106834028, 16.653093917146897
185, 33.725512554671624, 47.31948538982192, 43.316655733581264, 33.725512554671624, 47.31948538982192, 43.316655733581264, 33.725512554671624, 19.56486449005449, 12.165265305583352, 7.205439174276008, 19.56486449005449, 12.165265305583352, 7.205439174276008, 19.56486449005449, 13.591582029839104, 13.59074647072106, 16.86171877351048, 13.591582029839104, 13.59074647072106, 16.86171877351048, 13.591582029839104, 23.99967914594032
190, 52.08898364341562, 49.08734416056784, 41.68251004696582, 52.08898364341562, 49.08734416056784, 41.68251004696582, 52.08898364341562, 5.331717590677689, 19.179831714783365, 12.421105267755932, 5.331717590677689, 19.179831714783365, 12.421105267755932, 5.331717590677689, 12.977112626025745, 18.69009547014031, 3.4869718386911055, 12.977112626025745, 18.69009547014031, 3.4869718386911055, 12.977112626025745, 8.005138481186743
195, 117.42476123169882, 148.6563163792112, 132.1959341768636, 117.42476123169882, 148.6563163792112, 132.1959341768636, 117.42476123169882, 23.36897194027579, 13.398708818705757, 17.46435563657163, 23.36897194027579, 13.398708818705757, 17.46435563657163, 23.36897194027579, 19.80860184136167, 42.88138578122714, 14.186361619004877, 19.80860184136167, 42.88138578122714, 14.186361619004877, 19.80860184136167, 21.854618212521714
200, 21.63063682519533, 9.758192700701478, 16.075519378078603, 21.63063682519533, 9.758192700701478, 16.075519378078603, 21.63063682519533, 8.521334860649612, 15.179914593995731, 11.901936341107128, 8.521334860649612, 15.179914593995731, 11.901936341107128, 8.521334860649612, 6.620583797621505, 14.644894272948463, 7.063043997319955, 6.620583797621505, 14.644894272948463, 7.063043997319955, 6.620583797621505, 15.704650200655628
205, 76.73957659944516, 77.55211115890351, 72.48098970362054, 76.73957659944516, 77.55211115890351, 72.48098970362054, 76.73957659944516, 6.703588726107642, 4.472695646655586, 5.693716519736929, 6.703588726107642, 4.472695646655586, 5.693716519736929, 6.703588726107642, 12.880022678346368, 17.198382741396177, 3.0141694192237405, 12.880022678346368, 17.198382741396177, 3.0141694192237405, 12.880022678346368, 8.740727816029287
210, 37.70434302878975, 39.69234680159993, 61.89655286287033, 37.70434302878975, 39.69234680159993, 61.89655286287033, 37.70434302878975, 17.873851934868632, 17.799980512157784, 23.06498886073742, 17.873851934868632, 17.799980512157784, 23.06498886073742, 17.873851934868632, 26.990527671788815, 43.83847438841795, 10.892534700669428, 26.990527671788815, 43.83847438841795, 10.892534700669428, 26.990527671788815, 9.995808638753193
215, 110.16209487155228, 108.95139480350016, 113.61165518641957, 110.16209487155228, 108.95139480350016, 113.61165518641957, 110.16209487155228, 13.51366308601262, 24.248939050251355, 8.66344654642839, 13.51366308601262, 24.248939050251355, 8.66344654642839, 13.51366308601262, 21.772933982945755, 38.63579168240099, 6.076954871222387, 21.772933982945755, 38.63579168240099, 6.076954871222387, 21.772933982945755, 5.822000662180012
220, 69.65693952695709, 66.04789949040114, 74.08687994615717, 69.65693952695709, 66.04789949040114, 74.08687994615717, 69.65693952695709, 12.630800124044228, 20.267314583463758, 3.547517734028447, 12.630800124044228, 20.267314583463758, 3.547517734028447, 12.630800124044228, 7.716245323527084, 17.781586984159983, 8.738986730294965, 7.716245323527084, 17.781586984159983, 8.738986730294965, 7.716245323527084, 6.87201537170026
225, 96.69256732772986, 112.61305117377904, 136.67868313831352, 96.69256732772986, 112.61305117377904, 136.67868313831352, 96.69256732772986, 8.04099108519923, 4.383936394282746, 16.616465173597934, 8.04099108519923, 4.383936394282746, 16.616465173597934, 8.04099108519923, 14.27521458911331, 18.18572926806837, 6.939383418252203, 14.27521458911331, 18.18572926806837, 6.939383418252203, 14.27521458911331, 25.798629430134454
230, 26.539019959340898, 28.413238533630054, 30.22556609610314, 26.539019959340898, 28.413238533630054, 30.22556609610314, 26.539019959340898, 10.167626175106921, 14.206004105952314, 10.642153205842952, 10.167626175106921, 14.206004105952314, 10.642153205842952, 10.167626175106921, 9.8249435426044, 21.22221030442569, 1.5700217411460489, 9.8249435426044, 21.22221030442569, 1.5700217411460489, 9.8249435426044, 4.803457365852133
235, 64.77898177265658, 64.93310188879647, 78.23558804492993, 64.77898177265658, 64.93310188879647, 78.23558804492993, 64.77898177265658, 2.154091911973521, 21.462837357272278, 8.519918254998526, 2.154091911973521, 21.462837357272278, 8.519918254998526, 2.154091911973521, 11.070243447590528, 18.975674376896436, 1.9325445554204561, 11.070243447590528, 18.975674376896436, 1.9325445554204561, 11.070243447590528, 14.413764895294298
