,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,,,,,,,,,,,
345,3.10E-04,-3.46E-04,-2.17E-04,1.93E-04,-4.05E-04,5.55E-05,-4.36E-04,-4.07E-04,-1.48E-05,-4.05E-04,-1.93E-04,5.56E-05,-0.001167658,1.80E-04,6.28E-05,3.10E-04,-3.46E-04,-2.17E-04,1.93E-04,-4.05E-04,5.55E-05,,,,,,,,,,
350,3.17E-04,-3.53E-04,-2.26E-04,2.12E-04,-4.15E-04,5.34E-05,-4.63E-04,-4.18E-04,-1.17E-05,-4.15E-04,-2.12E-04,5.35E-05,-8.90E-04,2.07E-04,5.82E-05,3.17E-04,-3.53E-04,-2.26E-04,2.12E-04,-4.15E-04,5.34E-05,,,,,,,,,,
355,3.59E-04,-3.92E-04,-2.57E-04,2.60E-04,-4.65E-04,5.52E-05,-5.34E-04,-4.68E-04,-1.33E-05,-4.65E-04,-2.60E-04,5.51E-05,-7.64E-04,2.54E-04,7.42E-05,3.59E-04,-3.92E-04,-2.57E-04,2.60E-04,-4.65E-04,5.52E-05,,,,,,,,,,
360,3.81E-04,-4.13E-04,-2.73E-04,2.83E-04,-4.92E-04,5.66E-05,-5.70E-04,-4.94E-04,-1.44E-05,-4.92E-04,-2.83E-04,5.66E-05,-7.32E-04,2.76E-04,8.20E-05,3.81E-04,-4.13E-04,-2.73E-04,2.83E-04,-4.92E-04,5.66E-05,,,,,,,,,,
365,3.85E-04,-4.15E-04,-2.75E-04,2.87E-04,-4.95E-04,5.66E-05,-5.78E-04,-4.96E-04,-1.45E-05,-4.95E-04,-2.87E-04,5.66E-05,-7.26E-04,2.80E-04,8.39E-05,3.85E-04,-4.15E-04,-2.75E-04,2.87E-04,-4.95E-04,5.66E-05,,,,,,,,,,
370,3.89E-04,-4.20E-04,-2.78E-04,2.90E-04,-5.00E-04,5.73E-05,-5.82E-04,-5.02E-04,-1.48E-05,-5.00E-04,-2.90E-04,5.73E-05,-7.42E-04,2.83E-04,8.42E-05,3.89E-04,-4.20E-04,-2.78E-04,2.90E-04,-5.00E-04,5.73E-05,,,,,,,,,,
375,3.90E-04,-4.21E-04,-2.78E-04,2.91E-04,-5.02E-04,5.76E-05,-5.83E-04,-5.04E-04,-1.50E-05,-5.02E-04,-2.91E-04,5.76E-05,-7.57E-04,2.84E-04,8.39E-05,3.90E-04,-4.21E-04,-2.78E-04,2.91E-04,-5.02E-04,5.76E-05,,,,,,,,,,
380,3.90E-04,-4.22E-04,-2.78E-04,2.90E-04,-5.02E-04,5.78E-05,-5.83E-04,-5.04E-04,-1.51E-05,-5.02E-04,-2.90E-04,5.78E-05,-7.70E-04,2.84E-04,8.34E-05,3.90E-04,-4.22E-04,-2.78E-04,2.90E-04,-5.02E-04,5.78E-05,,,,,,,,,,
385,4.74E-04,-4.97E-04,-3.29E-04,3.61E-04,-5.92E-04,6.70E-05,-7.01E-04,-5.95E-04,-2.09E-05,-5.92E-04,-3.61E-04,6.69E-05,-0.001041577,3.51E-04,1.08E-04,4.74E-04,-4.97E-04,-3.29E-04,3.61E-04,-5.92E-04,6.70E-05,,,,,,,,,,
390,5.10E-04,-5.29E-04,-3.52E-04,3.91E-04,-6.32E-04,7.10E-05,-7.52E-04,-6.35E-04,-2.35E-05,-6.32E-04,-3.91E-04,7.09E-05,-0.001157255,3.79E-04,1.18E-04,5.10E-04,-5.29E-04,-3.52E-04,3.91E-04,-6.32E-04,7.10E-05,,,,,,,,,,
