,Vector1,,,Vector2,,
1300,-0.476803664,0.638242388,0.269673233,0.638223419,0.476771954,0.269716427
1305,-0.619223142,0.637136446,0.268807858,0.637149562,0.619189767,0.268867894
1310,-0.526674676,0.257144507,-0.009414787,0.257244654,0.526656929,-0.009394049
1315,0.590350236,-0.315708564,0.136911947,-0.315683777,-0.590379591,0.136880084
1320,0.618674754,0.645559562,0.858770076,0.645555446,-0.618701887,0.858761748
1325,2.735604904,0.837168491,0.498274994,0.837199605,-2.735568649,0.498182379
1330,-1.268784839,0.918508699,0.35313431,0.918463492,1.268986462,0.353544671
1335,-1.497628736,0.777426981,0.178207205,0.777506091,1.497552724,0.178148501
1340,-0.395947747,-1.329837194,0.298708516,-1.329822368,0.395907974,0.298647561
1345,3.391393922,-0.717342186,-0.371721284,-0.717469892,-3.391282624,-0.371830618
1350,5.793046958,-0.558888617,-0.191726633,-0.558712393,-5.793072448,-0.191818171
1355,5.522008285,-0.05326843,-0.842184609,-0.053209519,-5.522023304,-0.842244568
1360,2.279945793,-0.860892316,-0.167490779,-0.860762144,-2.279866286,-0.167536501
1365,1.739277476,-0.643498463,-0.730337093,-0.64345823,-1.739277519,-0.730408763
1370,1.725025346,-0.743537784,-0.527264596,-0.743364237,-1.725014325,-0.527422128
1375,1.362551879,-0.624823633,-0.546114074,-0.624810917,-1.3625635,-0.546145013
1380,1.608250429,-0.930665593,-0.88994347,-0.930647047,-1.608233276,-0.889979555
1385,1.844167755,-0.95348664,-1.484726541,-0.953505927,-1.844206719,-1.484775234
1390,1.830394094,-1.012041224,-2.02761218,-1.011992914,-1.830384057,-2.027676131
1395,2.633043469,-2.832827247,-2.247349911,-2.832790272,-2.633047199,-2.247418416
1400,6.588042174,-1.995216292,-0.79570203,-1.995128838,-6.588017787,-0.795937118
1405,0.029378944,0.646537744,1.268140988,0.646493655,-0.029466601,1.268051561
1410,3.028743104,-1.446967236,0.90367141,-1.446607726,-3.028880775,0.903583191
1415,1.66157172,-0.450313658,0.855722682,-0.450304921,-1.661617436,0.855619481
1420,2.178488175,-0.096244551,0.637785587,-0.09621019,-2.178490761,0.637747227
1425,-2.539070822,0.028881679,0.07683375,0.028762518,2.539175699,0.076887493
1430,-6.227785856,0.112183223,-0.066760812,0.112063002,6.227835863,-0.066701488
1435,-7.322835871,1.020982206,-0.541102011,1.020823805,7.322807055,-0.540781665
1440,-0.820824294,-0.084154839,0.117768295,-0.084135205,0.820799238,0.117802041
1445,-2.641768899,1.736532677,2.53188481,1.736584516,2.641816783,2.531897722
1450,0.264790265,-0.071588911,2.510104854,-0.071611303,-0.26497922,2.509192131
1455,-0.450118969,-0.393742921,0.232015813,-0.393668926,0.450130484,0.232323147
1460,-0.113615288,-1.178836406,0.188528086,-1.178872296,0.113624378,0.188455896
1465,0.131528453,0.208019504,-0.134317369,0.207841856,-0.131549911,-0.134237213
1470,-0.478220225,1.257772313,-0.362708576,1.257718456,0.478279861,-0.36273596
1475,0.739136469,-0.02296539,0.276504617,-0.023205975,-0.739196678,0.276409754
1480,0.041865652,-0.076415676,0.698496859,-0.076369258,-0.041822239,0.698450674
1485,-4.667983534,0.989387758,1.207270466,0.989349956,4.668016062,1.207327346
1490,-2.198714732,0.619729373,0.186077127,0.619766105,2.198709093,0.186144738
